Theater,City,"State
DO NOT FILTER!
",Country,Aspect Ratio,Size,3D,Video Wall,# of seats,Notes
Pathé Aéroville,'s-Hertogenbosch,,France,2.39,,,,,
Pathé Wilson,Addison,,France,2.39,,,,,
Megabox Suwon AK Plaza,Alexandria,,South Korea,1.85,15m wide?,,TBA,,Converted from retrofitted IMAX(formerly CGV)
Pathé Belle Épine,Alexandria,,France,2.39,,,,,
Megabox Coex,Almere,,South Korea,2.39,17~17.5m wide,,Y,,"Converted from MX(Proprietary PLF brand), Speakers changed from Meyer to QSC"
Pathé Docks 76,Alpharetta,,France,2.39,,,,,
Gaumont Rennes,Altamonte Springs,,France,2.39,,,,,
Pathé Beaugrenelle,AMC Lincoln Square 13,,France,2.39,,,,,
Pathé Gare du Sud,Amsterdam,,France,2.39,,,,,
Megabox Namyangju Hyundai Outlet,Anseong,,South Korea,1.85,18m wide,,N,,SLS speakers
Pathé Massy,Arcadia,,France,2.39,17.4m wide,,Y,,
Pathé La Joliette,Arlington,,France,2.39?,,,,,
ODEON Luxe London West End,Atlanta,,United Kingdom,1.85,13.3m wide,,Y,,SLS speakers
Pathé Vaise,Atlanta,,France,2.39,,,,,
ODEON Luxe London Leicester Square,Auburn Hills,,United Kingdom,2.39,13.1m wide,,N,,
Reel Cinemas The Dubai Mall,Aurora,,United Arab Emirates,1.85,,,,,
Megabox Daejeon Shinsegae,Austin,,South Korea,1.85,19m wide,,Y,,Presentation quality unstable
Reel Cinemas Dubai Marina Mall,Austin,,United Arab Emirates,1.85,,,,,
Megabox Daegu Shinsegae,Aventura,,South Korea,1.85,15m wide,,Y,,"Converted from MX, Meyer -> Dolby speakers"
Megabox Anseong Starfield,Baltimore,,South Korea,1.85,12.8~13.2m wide,,Y,,"Might be converted from non-PLF during construction, SLS speakers applied"
AMC Woodinville 12,Baton Rouge,WA,USA,1.85,,,,,
AMC Southcenter 16,Bensalem,WA,USA,1.85,,Y,,,
AMC River Park Square 20,Boston,WA,USA,2.39,,Y,,,
AMC Alderwood Mall 16,Brandon,WA,USA,1.85,,Y,,,
AMC Kent Station 14,Breda,WA,USA,1.85,,,,,
AMC Potomac Mills 18,Brentwood,VA,USA,?,,Y,,,
AMC Lynnhaven 18,Broomfield,VA,USA,?,,Y,,,
AMC Tysons Corner 16,Burbank,VA,USA,1.85,,Y,N,,
AMC Hampton Towne Centre 24,Canoga Park,VA,USA,1.85,,Y,N,,
AMC West Chester 18,Center Valley,VA,USA,1.85,,,,,
AMC Hoffman Center 22,Century City (Los Angeles),VA,USA,?,,Y,,,
Kinepolis Jaarbeurs Utrecht,Charlotte,Utrecht,Netherlands,2.39,19.30m x 8.08m,,,467,Kinepolis Laser Ultra [3D+4K60+HDR+HFR] (Barco projector = 60 000 lumen) + Dolby Atmos (64 speakers) + 467 seats
AMC First Colony 24,Cherry Hill,TX,USA,1.85,,Y,,,
AMC Fountains 18,Chicago,TX,USA,2.39,,,,,
AMC Metropark Square 10,City of Industry,TX,USA,?,,,,,
AMC DINE-IN Mesquite 30,Clifton,TX,USA,1.85,,Y,,,
AMC Katy Mills 20,Clinton Twp,TX,USA,2.39,,,,,
AMC Deerbrook 24,Colorado Springs,TX,USA,?,,,,,
AMC Willowbrook 24,Columbia,TX,USA,1.85,,Y,,,
AMC Gulf Pointe 30,Columbus,TX,USA,?,,Y,,,
AMC DINE-IN Grapevine Mills 30,Concord,TX,USA,1.85,,,,,
AMC Firewheel 18,Council Bluffs,TX,USA,1.85,,,,,
AMC DINE-IN Stonebriar 24,Crestwood,TX,USA,1.85,,Y,,,
AMC DINE-IN Clearfork 8,Cumming,TX,USA,1.85,,,,,
AMC Edinburg 18,Daegu,TX,USA,?,,,,,
AMC NorthPark 15,Daejeon,TX,USA,1.85,,Y,,,
AMC DINE-IN Tech Ridge 10,Dallas,TX,USA,1.85,,,,,
AMC Barton Creek Square 14,Danbury,TX,USA,1.85,,Y,,,
AMC The Parks At Arlington 18,Danvers,TX,USA,?,,Y,,,
AMC Village on the Parkway 9,Denver,TX,USA,1.85,,Y,,,
AMC DINE-IN Thoroughbred 20,Destin,TN,USA,2.39,,?,,,
Pathé Scheveningen,Dorchester,South Holland,Netherlands,1.85:1,,,Y,,Dolby Cinema [3D+4K+HDR+HFR] Dual Laser Dolby Vision + Dolby Atmos + 298 seats
Pathé De Kuip,Dordrecht,South Holland,Netherlands,2.39,,,Y,,Dolby Cinema [3D+4K+HDR+HFR] Dual Laser Dolby Vision + Dolby Atmos + 397 seats
Kinepolis Dordrecht,Dubai,South Holland,Netherlands,2.39,13.34m x 5.58m,,,,Kinepolis Laser Ultra [3D+4K60+HDR+HFR] (Barco projector = 60 000 lumen) + Dolby Atmos (64 speakers) + 178 seats
Kinepolis Leidschendam,Dubai,South Holland,Netherlands,2.39,19.90m x 8.33m,,,,Kinepolis Laser Ultra [3D+4K60+HDR+HFR] (Barco projector = 60 000 lumen) + Dolby Atmos (64 speakers) + 368 seats
