theatre,lng,lat,type,projector,date,ratio,width,height,size,seats,note
奧克蘭 - Event Cinemas Queen Street IMAX,174.7638387,-36.85195,imax,IMAX GT 3D Laser,1999年7月29日,,27.00,19.90,537.3000,,
悉尼 -HOYTS Entertainment Quarter,151.2271863,-33.894938,imax,IMAX Xenon,2008年12月25日,,17.92,9.41,168.6272,,
悉尼 - IMAX Sydney,151.2013022,-33.8736942,imax,IMAX GT 3D Laser,"1996年9月25日-2016年9月25日（IMAX GT）
2013年3月7日-2016年9月25日（IMAX Xenon）
2023年10月11日",,35.72,29.57,"1056.2404
692",401,
墨爾本 -IMAX Theatre Melbourne,144.9630576,-37.8136276,imax,"IMAX GT 
IMAX GT 3D Laser","1998年5月23日（IMAX GT）
2013年3月7日（IMAX Xenon）
2015年9月17日",,31.08,23.19,720.7452,,全球第五套IMAX GT 3D Laser系統
札幌 - ユナイテッド・シネマ札幌,141.3633601,43.064133,imax,IMAX®レーザー,"2010年11月19日
2019年11月8日",,24.93,13.86,345.5298,"2D ・IMAX®/ 458人
3D ・IMAX®/ 412人",
TOHOシネマズ すすきの （北海道）,141.352701,43.0551326,dolby,科视Christie E3LH数字影院放映机,,,,,,,
仙台 - TOHOシネマズ仙台,140.8791909,38.2588879,imax,IMAX®デジタルシアター,2016年7月1日,,17.00,9.20,156.4000,364,
成田 - 成田HUMAXシネマズ,140.3216702,35.7935865,imax,IMAX®デジタルシアター,2012年5月25日,,24.38,13.83,337.1754,,
土浦 - シネマサンシャイン土浦,140.182469,36.079371,imax,IMAX®デジタルシアター,2012年12月14日,,16.70,9.23,154.1410,257,
市原 - USシネマちはら台,140.1719786,35.5271569,imax,IMAX®デジタルシアター,2017年8月4日,,17.40,9.23,160.6020,327,
松戶 - ユナイテッド・シネマ テラスモール松戸,139.9336451,35.818273,imax,IMAX®レーザー,2019年10月25日,,,,,"2D ・IMAX/ 347人
3D ・IMAX/ 303人",
千葉県流山市 -  TOHOシネマズ流山おおたかの森,139.9263671,35.8711334,imax,IMAX®レーザー,2020年4月24日,,,,,238(2),
東京都 - 109シネマズ木場,139.8040622,35.6667616,imax,IMAX®デジタルシアター,2011年7月15日,,17.95,9.08,162.9860,,
東京都江東区 -  109シネマズ木場,139.8040622,35.6667616,imax,IMAX®レーザー,2021年10月1日,,,,,317,
丸の内ピカデリー　ドルビーシネマ,139.7629245,35.6734305,dolby,科视Christie E3LH数字影院放映机,2019年10月4日,,15.000,7.130,106.9500,255席,住所：東京都千代田区有楽町2-5-1 有楽町マリオン新館5F
東京都 - TOHOシネマズ日比谷,139.7604761,35.6733946,imax,IMAX®レーザー,"2018年3月29日 
2022年11月4日",,,,,341,12chサウンドシステムを
