theatre,lng,lat,type,projector,date,ratio,width,height,size,seats,note
AMC Metreon 16,-122.4034217,37.7843985,dolby,,,2.39,,,~56 feet wide,,
AMC Bay Street 16,-122.2920468,37.8329817,dolby,,,1.85,,,,,
AMC Alderwood Mall 16,-122.2755319,47.8275317,dolby,,,1.85,,,,,
AMC Southcenter 16,-122.258586,47.458283,dolby,,,1.85,,,,,
AMC Kent Station 14,-122.2341512,47.3847684,dolby,,,1.85,,,,,
AMC Woodinville 12,-122.154425,47.7559072,dolby,,,1.85,,,,,
AMC DINE-IN Sunnyvale 12,-122.0308701,37.3740182,dolby,,,1.85,,,~40 feet wide,,
AMC NewPark 12,-122.0019467,37.5272735,dolby,,,1.85,,,~60 feet wide,,
AMC Saratoga 14,-121.9900001,37.2887319,dolby,,,1.85,,,~42 feet wide,,
AMC Mercado 20,-121.9830199,37.3891813,dolby,,,2.39,,,~56 feet wide,,Prime is also 2.39
AMC Eastridge 15,-121.8149183,37.3248609,dolby,,,1.85,,,,,
AMC Brentwood 14,-121.7407856,37.9457938,dolby,,,1.85,,,,,
AMC DINE-IN Thousand Oaks 14,-118.885573,34.181878,dolby,,,2.39,,,,,
AMC DINE-IN Topanga 12,-118.6034243,34.1887963,dolby,,,?,,,,,
伍德兰希尔斯 AMC Promenade 16,-118.6030512,34.1803514,dolby,科视Christie E3LH数字影院放映机,,,,,,,
AMC Porter Ranch 9,-118.5720084,34.2771293,dolby,,,1.85,,,,,
AMC Century City 15,-118.4185503,34.0576327,dolby,,,1.85,,,,,Prime is also 1.85
AMC The Grove 14,-118.3578419,34.0718688,dolby,,,1.85,,,,,
AMC DINE-IN South Bay Galleria 16,-118.3557915,33.8719425,dolby,,,?,,,,,
AMC Del Amo 18,-118.3478594,33.8337598,dolby,,,1.85,,,,,
Disney's El Capitan Theatre,-118.3399391,34.1013616,dolby,,,?,,,?,,One screen only owned by disney is able to play Dolby Cinema 3D films is not called dolby cinema but is owned by disney and powered by dolby cinema
AMC Rolling Hills 20,-118.3285427,33.7925385,dolby,,,2.39,,,,,"May 27, 2022 - 2 small dents on top third of screen, projector vertically misaligned and cuts off bit of bottom"
AMC Burbank 16,-118.3118211,34.1819851,dolby,,,1.85,,,,,Prime is also 1.85
AMC Americana at Brand 18,-118.2572692,34.1429649,dolby,,,1.85,,,,,
AMC Norwalk 20,-118.0711063,33.913443,dolby,,,2.39,,,,,
AMC Santa Anita 16,-118.0486806,34.1353854,dolby,,,1.85,,,,,
AMC Puente Hills 20,-117.9264934,33.9946382,dolby,,,2.39,,,,,
AMC Orange 30,-117.8933266,33.7826835,dolby,,,2.39,,,,,
AMC Glendora 12,-117.836395,34.1170829,dolby,,,1.85,,,,,
AMC Tustin 14 @ The District,-117.8290094,33.696649,dolby,,,1.85,,,,,
AMC DINE-IN Montclair Place 12,-117.6914901,34.086708,dolby,,,1.85,,,,,
AMC DINE-IN Ontario Mills 30,-117.5526612,34.0745918,dolby,,,2.39,,,,,
AMC Victoria Gardens 12,-117.5300638,34.1128614,dolby,,,1.85,,,,,
AMC Tyler Galleria 16,-117.4576124,33.9127975,dolby,,,1.85,,,,,
AMC River Park Square 20,-117.4236155,47.6595722,dolby,,,2.39,,,,,
AMC Mission Valley 20,-117.1485969,32.7680797,dolby,,,2.39,,,,,
AMC Plaza Bonita 14,-117.065415,32.6535344,dolby,,,?,,,,,
AMC Town Square 18,-115.1785129,36.0682817,dolby,,,1.85,,,,,
AMC Westgate 20,-112.2613531,33.53539,dolby,,,1.85,,,,,
AMC Arrowhead 14,-112.2257225,33.6428146,dolby,,,2.39,,,,,
AMC Deer Valley 17,-112.1240247,33.666029,dolby,,,1.85,,,,,
AMC DINE-IN Desert Ridge 18,-111.9707028,33.6757238,dolby,,,1.85,,,,,
AMC Mesa Grand 14,-111.8020733,33.384176,dolby,,,1.85,,,,,
AMC Flatiron Crossing 14,-105.135388,39.9301531,dolby,,,1.85,,,,,
AMC Westminster Promenade 24,-105.0706706,39.8892021,dolby,,,1.85,,,,,
