theatre,lng,lat,projector,date,ratio,width,height,size,seats,note
AMC Woodinville 12,-122.154425,47.7559072,,,1.85,,,,,
AMC Southcenter 16,-122.258586,47.458283,,,1.85,,,,,
AMC River Park Square 20,-117.4236155,47.6595722,,,2.39,,,,,
AMC Alderwood Mall 16,-122.2755319,47.8275317,,,1.85,,,,,
AMC Kent Station 14,-122.2341512,47.3847684,,,1.85,,,,,
AMC Potomac Mills 18,-77.2974081,38.6425723,,,?,,,,,
AMC Lynnhaven 18,-76.0730439,36.8158499,,,?,,,,,
AMC Tysons Corner 16,-77.218706,38.917707,,,1.85,,,,,
AMC Hampton Towne Centre 24,-76.4233045,37.0618893,,,1.85,,,,,
AMC West Chester 18,-84.4210258,39.3187163,,,1.85,,,,,
AMC Hoffman Center 22,-77.070871,38.802369,,,?,,,,,
AMC First Colony 24,-95.6272811,29.5868701,,,1.85,,,,,
AMC Fountains 18,-95.5843213,29.6411487,,,2.39,,,,,
AMC Metropark Square 10,-95.4510984,30.1947017,,,?,,,,,
AMC DINE-IN Mesquite 30,-96.6274085,32.7885925,,,1.85,,,,,
AMC Katy Mills 20,-95.8096915,29.7724542,,,2.39,,,,,
AMC Deerbrook 24,-95.2716878,30.0098581,,,?,,,,,
AMC Willowbrook 24,-95.5409804,29.9533684,,,1.85,,,,,
AMC Gulf Pointe 30,-95.2128475,29.6049013,,,?,,,,,
AMC DINE-IN Grapevine Mills 30,-97.0427604,32.965993,,,1.85,,,,,
AMC Firewheel 18,-96.6141001,32.9506591,,,1.85,,,,,
AMC DINE-IN Stonebriar 24,-96.8120989,33.0990904,,,1.85,,,,,
AMC DINE-IN Clearfork 8,-97.4017593,32.7089167,,,1.85,,,,,
AMC Edinburg 18,-98.1562026,26.2730634,,,?,,,,,
AMC NorthPark 15,-96.7735417,32.8685552,,,1.85,,,,,
AMC DINE-IN Tech Ridge 10,-97.6716851,30.4084332,,,1.85,,,,,
AMC Barton Creek Square 14,-97.808272,30.257839,,,1.85,,,,,
AMC The Parks At Arlington 18,-97.127895,32.678896,,,?,,,,,
AMC Village on the Parkway 9,-96.820586,32.9504625,,,1.85,,,,,
AMC DINE-IN Thoroughbred 20,-86.8238912,35.9429918,,,2.39,,,,,
AMC Waterfront 22,-79.9183966,40.4066045,,,2.39,,,,,
AMC DINE-IN Fashion District 8,-75.1571648,39.9519835,,,1.85,,,,,
AMC Center Valley 16,-75.4092718,40.5607131,,,2.39,,,,,
AMC Neshaminy 24,-74.954105,40.140225,,,2.39,,,,,
AMC Southroads 20,-95.9193145,36.1065113,,,?,,,,,
AMC Quail Springs Mall 24,-97.5583891,35.6122375,,,1.85,,,,,
AMC West Chester 18,-84.4210258,39.3187163,,,1.85,,,~42 feet wide,,
AMC Newport On The Levee 20,-84.4957493,39.0951232,,,2.39,,,,,
AMC DINE-IN Easton Town Center 30,-82.9152374,40.0511589,,,1.85,,,,,
AMC Stony Brook 17,-73.1269724,40.8756942,,,2:39,,,,,
AMC DINE-IN Staten Island 11,-74.1670147,40.5808809,,,1.85,,,,,
AMC Port Chester 14,-73.663299,40.999824,,,2.39,,,,,
AMC Magic Johnson Harlem 9,-73.9518015,40.8097351,,,?,,,,,
AMC DINE-IN Huntington Square 12,-73.3147188,40.8393359,,,1.85,,,,,
AMC 34th Street 14,-73.9944325,40.7524407,,,2.39,,,,,
AMC Empire 25,-73.9890036,40.756737,,,2.39,,,,,
AMC Lincoln Square 13,-73.9819053,40.7751676,,,2.39,,,,,
AMC Town Square 18,-115.1785129,36.0682817,,,1.85,,,,,
AMC Rockaway 16,-74.5580405,40.9097033,,,1.85,,,,,
AMC Garden State Plaza 16,-74.0771935,40.9153697,,,1.85,,,63.5ft x 34.5ft,,
AMC New Brunswick 18,-74.4154251,40.4890822,,,2.39,,,,,
AMC Garden State 16,-74.0771935,40.9153697,,,1.85,,,"19.596mx11.578m
64.29ftx37.985ft",,
AMC Aviation 12,-74.2452926,40.6208182,,,,,,,,
AMC Jersey Gardens 20,-74.1685875,40.6596095,,,1.85,,,,,
AMC DINE-IN Shops at Riverside 9,-74.0296765,40.905077,,,,,,,,
AMC Monmouth Mall 15,-74.0534799,40.287233,,,2.39,,,,,
AMC Clifton Commons 16,-74.1402858,40.8289041,,,2.39,,,"13.568mx7.445m
44.515ftx24.425ft",,
AMC Cherry Hill 24,-75.0280988,39.9362666,,,2.39,,,,,
AMC Hickory 15,-81.304763,35.6996394,,,1.85,,,70 ft wide,,
AMC DINE-IN Southpoint 17,-78.9455726,35.9052172,,,1.85,,,,,
AMC Concord Mills 24,-80.7260192,35.3703321,,,?,,,,,
AMC Northlake 14,-80.850346,35.353584,,,?,,,,,
AMC Barrywoods 24,-94.6560664,39.2430502,,,1.85,,,,,
AMC Rosedale 14,-93.1688762,45.0131149,,,?,,,,,
AMC Southdale 16,-93.3258438,44.879525,,,1.85,,,,,
AMC Forum 30,-83.060326,42.6220092,,,1.85,,,55W,,
AMC Star Great Lakes 25,-83.2950119,42.7029853,,,2.39,,,,,
AMC Star Gratiot 15,-82.8997689,42.5592061,,,2.39,,,48ft x 20ft,,
AMC White Marsh 16,-76.4645455,39.3707032,,,2.39,,,,,
AMC Columbia 14,-76.8633385,39.2170316,,,1.85,,,,,
AMC Assembly Row 12,-71.0798568,42.3949035,,,?,,,,,
AMC Methuen 20,-71.1573222,42.7443553,,,?,,,,,
AMC South Bay Center 12,-71.0621086,42.3254576,,,1.85,,,,,
AMC Liberty Tree Mall 20,-70.9410852,42.5527231,,,?,,,,,
AMC Boston Common 19,-71.064143,42.3532388,,,?,,,,,
AMC DINE-IN Clearview Palace 12,-90.182975,30.002158,,,?,,,,,
AMC Elmwood Palace 20,-90.1915692,29.9622548,,,?,,,,,
AMC Baton Rouge 16,-91.010488,30.440002,,,?,,,,,
AMC Northrock 14,-97.240899,37.740462,,,1.85,,,,,
AMC DINE-IN Studio 28,-94.767132,38.9073497,,,1.85,,,,,
AMC Newport On The Levee 20,-84.4957493,39.0951232,,,1.85,,,,,
AMC Town Center 20,-94.648325,38.915838,,,1.85,,,,,
AMC Perry Crossing 18,-86.3605629,39.7110611,,,?,,,,,
AMC Indianapolis 17,-86.1526974,39.7016847,,,2.39,,,,,
AMC Castleton Square 14,-86.063976,39.9079059,,,1.85,,,,,
AMC Village Crossing 18,-87.7650105,42.0095919,,,2.39,,,,,
AMC South Barrington 24,-88.1485168,42.0699076,,,1.85,,,,,
AMC Hawthorn 12,-87.9491196,42.2441309,,,1.85,,,,,
AMC DINE-IN Rosemont 12,-87.8675308,41.9797546,,,1.85,,,,,
AMC Naperville 16,-88.2089744,41.7128844,,,2.39,,,,,
AMC Oakbrook Center 12,-87.952423,41.8528162,,,1.85,,,,,
AMC Edwardsville 12,-89.9557512,38.7835112,,,?,,,,,
AMC Crestwood 18,-87.744231,41.651552,,,2.39,,,,,
AMC River East 21,-87.6190787,41.8911992,,,1.85,,,,,
AMC Council Bluffs 17,-95.8955452,41.2423639,,,?,,,,,
AMC Southlake 24,-84.3294514,33.5632772,,,1.85,,,,,
AMC Sugarloaf Mills 18,-84.0774516,33.9814172,,,1.85,,,,,
AMC Barrett Commons,-84.571169,34.0156358,,,?,,,,,
AMC Avenue Forsyth 12,-84.1773896,34.1554676,,,?,,,,,
AMC Madison Yards 8,-84.3563992,33.7461626,,,1.85,,,,,
AMC Parkway Pointe 15,-84.4564502,33.8790269,,,?,,,,,
AMC DINE-IN North Point Mall 12,-84.2964607,34.0480359,,,1.85,,,,,
AMC West Palm Beach 12,-80.0561108,26.7087086,,,?,,,,,
AMC Veterans 24,-82.5430263,28.0329736,,,1.85,,,,,
AMC West Shore 14,-82.5267592,27.9471115,,,?,,,,,
AMC Tallahassee 20,-84.2885529,30.4759016,,,1.85,,,~55-60W,,
AMC Sunset Place 24,-80.2861197,25.7051754,,,1.85,,,,,
AMC Pembroke Lakes 9,-80.3079414,26.0104948,,,?,,,,,
AMC Orange Park 24,-81.7359191,30.1855552,,,?,,,,,
AMC Woodlands Square 20,-82.700388,28.052206,,,?,,,,,
AMC DINE-IN Disney Springs 24,-81.5197128,28.3697613,,,1.85,,,~66 feet wide,,
AMC Regency 24,-81.5548534,30.3269945,,,?,,,,,
AMC Destin Commons 14,-86.4237363,30.3921279,,,?,,,,,
AMC The Regency 20,-82.324416,27.943217,,,1.85,,,,,
